,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
869,SMEcorner,2014,Mumbai,Finance sector,Financial lending firm to SMEs,"Bhatia, Sneha Shah",Paragon Partners,30000000.0,Scaling,2020-01-01
870,Oda Class,2015,Bengaluru,Education & Training,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni","Li Yong, Shushant Srivastava",Yuanfudao,3000000.0,Early Traction,2020-01-01
871,Spinny,2015,Haryana,Retail & E-commerce,Used car retailing platform,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",43700000.0,Scaling,2020-01-01
872,goStops,2012,Delhi,Real Estate & Construction,A premium chain of youth hostels catering to the millennials,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.,3000000.0,Early Traction,2020-01-01
873,Umeed Housing,2015,Haryana,Finance sector,Housing finance company,Ashutosh Sharma,Morgan Stanley Private Equity Asia,23000000.0,Scaling,2020-01-01
874,Vogo,2016,Bengaluru,Logistics & Transportation,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,20000000.0,Scaling,2020-01-01
875,Flick Stree,2015,Mumbai,Media & Entertainment,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,3000000.0,Early Traction,2020-01-01
876,Qure ai,2016,Mumbai,Health care,Provides interpretations of radiology scans,"Prashant Warier, Pooja Rao",Sequoia India,16000000.0,Early Traction,2020-01-01
877,MinionLabs,2015,Bengaluru,Education & Training,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,3000000.0,Early Traction,2020-01-01
878,Josh Talks,2015,Haryana,Media & Entertainment,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,1500000.0,Early Traction,2020-01-01
879,PhoneParLoan,2015,Delhi,Finance sector,Provides easy loans,Ringaile Noq,Accelerator MOX,3000000.0,Early Traction,2020-01-01
